Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,monthly_k,monthly_d,monthly_j,monthly_k_slope,monthly_d_slope,monthly_j_slope,golden_cross,death_cross,cross_status,bars_since_golden_cross,buy_signal,sell_signal,buy_signal_t1,sell_signal_t1,position,cash,original_cash,short_proceeds,equity,,,,,,long_positions,short_positions,margin_cash,returns,trade_count,win_count,loss_count,win_rate,position_type,dividends_received,cumulative_dividends,daily_margin_cost,daily_short_borrow_cost,daily_mmf_interest,cumulative_borrowing_costs,cumulative_mmf_interest,daily_return,peak_equity,drawdown,,cagr,sharpe_ratio,sortino_ratio,max_drawdown,benchmark_equity,benchmark_returns,benchmark_drawdown,benchmark_cagr,benchmark_max_drawdown,benchmark_sharpe_ratio
2015-08-31,0.549734528,0.553623021,0.544144831,0.546332061,219352000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-01,0.530535271,0.539527379,0.52008497,0.523973405,353408000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-02,0.538311994,0.540013199,0.529319889,0.539770186,344044000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-03,0.5477904,0.550463772,0.540256484,0.541228592,262556000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-04,0.531993207,0.540499287,0.528347786,0.528590798,287972000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-08,0.541471439,0.553379929,0.53928421,0.551192641,238448000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-09,0.552893968,0.557511499,0.539041202,0.540256381,289392000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-10,0.537096786,0.555567077,0.534666486,0.548762202,357076000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-11,0.542686632,0.554109039,0.540499344,0.550463617,301584000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
2015-09-14,0.553136973,0.554838178,0.548519385,0.551435769,192460000,0,0,,,,,,,0,0,0,0,0,0,0,0,0,10000,10000,0,10000,,,,,,0,0,0,0,0,0,0,0.833333333,,0,0,0,0,0,0,0,0,10000,0,,0.062156622,0.359985195,0.156378563,-0.492948013,10000,0,0,0.526654282,-0.663081651,1.12687273
